user_id,recipe_id,date,rating,u,i
231160,124810,2008-08-18,5.0,3194,170682
142629,31342,2009-06-09,5.0,20947,120865
822358,441841,2010-11-19,4.0,15468,23142
655579,211110,2011-04-21,4.0,11634,156541
35140,114469,2005-03-29,5.0,2741,30839
91392,21343,2007-09-11,5.0,1483,10549
41578,70349,2003-10-19,5.0,184,95262
536124,99909,2008-12-15,5.0,14815,15759
191533,288603,2011-05-30,4.0,473,62145
250206,30981,2006-09-14,5.0,20557,112368
186070,11107,2008-03-07,4.0,2423,3814
30534,163705,2013-04-10,5.0,508,159959
383853,47637,2007-12-10,5.0,771,79467
386585,456924,2011-06-29,5.0,85,95218
53932,170761,2006-06-10,5.0,77,98138
890187,119178,2010-07-16,3.0,7973,171468
142367,107997,2006-01-31,5.0,2748,113698
233583,82221,2009-01-07,5.0,1926,118043
1029616,106251,2008-11-16,5.0,9640,29746
56087,28234,2005-03-18,5.0,2998,147911
406741,138972,2011-09-02,5.0,4872,140712
488441,454920,2011-05-31,5.0,1249,99247
32058,152121,2006-04-18,5.0,719,136275
169430,364363,2011-01-29,5.0,241,82637
309967,37336,2007-09-13,5.0,1008,138882
535633,7009,2008-09-23,5.0,946,30657
752505,145125,2008-02-22,5.0,7729,61242
58104,175824,2006-07-15,5.0,319,69592
28346,67468,2004-09-07,4.0,1471,96346
88099,165801,2007-05-26,5.0,470,33335
290107,61849,2006-05-22,5.0,2419,136284
141904,73469,2004-11-24,5.0,6319,97975
446143,206952,2007-03-12,5.0,27,63680
380561,29679,2009-05-25,5.0,12006,73956
200270,170736,2008-06-11,5.0,5132,95665
565592,184460,2012-10-02,5.0,1547,21885
537179,338457,2009-02-09,5.0,91,9889
213547,44232,2005-09-04,5.0,1002,13779
383346,382668,2011-05-12,5.0,193,18366
38643,16884,2007-02-05,5.0,7349,72253
789516,87782,2008-05-18,5.0,1966,19297
688254,25849,2009-08-12,5.0,14150,138068
254614,9823,2008-10-26,4.0,551,61183
2000498330,28758,2016-11-27,5.0,2248,14451
384133,2056,2010-01-22,5.0,12885,111127
1547166,223688,2014-10-28,2.0,2544,5044
492412,31710,2008-03-27,5.0,3836,143117
583643,49561,2012-08-26,0.0,2311,55405
404046,47824,2007-07-01,4.0,581,29312
58104,108666,2005-02-14,4.0,319,111666
36944,44640,2002-11-08,5.0,2106,170707
361931,310418,2008-12-27,4.0,1307,77978
403428,73825,2008-03-25,5.0,7935,154916
158086,142998,2005-11-22,5.0,128,82934
217867,16587,2009-07-02,5.0,1880,28627
727055,31750,2008-05-07,5.0,1346,79095
580134,166252,2008-01-20,5.0,9604,125708
39835,178885,2009-05-15,5.0,384,56541
65502,362842,2009-03-31,5.0,1279,156148
212478,9836,2010-09-12,3.0,10154,43748
65056,11548,2004-11-01,5.0,231,21304
22720,22782,2007-10-12,5.0,3735,101819
229619,90683,2005-10-22,5.0,1319,111043
1166077,54257,2009-04-02,5.0,19622,52334
37449,83811,2004-02-20,5.0,275,70399
95743,112563,2005-03-16,5.0,552,115479
242729,11433,2009-02-05,4.0,2147,89769
797706,44888,2009-12-07,5.0,5245,21213
78808,19483,2004-08-02,5.0,1680,43758
715731,382002,2009-08-10,4.0,7465,4282
209603,146866,2006-01-23,5.0,2429,102379
993604,217664,2008-12-28,4.0,2793,36697
383346,326786,2008-09-28,5.0,193,29630
2241574,363598,2013-10-17,4.0,12323,170771
31807,474386,2013-02-09,3.0,4906,34357
276156,144057,2006-06-12,5.0,12678,115982
111843,36634,2004-09-17,5.0,11106,175176
338232,45668,2006-10-14,5.0,9259,46113
487279,131403,2007-06-27,4.0,1041,70612
308961,201978,2007-01-24,4.0,12169,160405
94618,26257,2004-02-02,5.0,3557,61366
757856,159837,2008-08-28,5.0,15321,156416
11176,31581,2005-12-12,5.0,529,55708
53959,146671,2006-01-15,5.0,310,29091
946146,370040,2009-05-20,4.0,324,77835
343039,202420,2009-09-23,5.0,3680,148943
