user_id,recipe_id,date,rating,u,i
231160,124810,2008-08-18,5.0,3194,170682
655579,211110,2011-04-21,4.0,11634,156541
191533,288603,2011-05-30,4.0,473,62145
186070,11107,2008-03-07,4.0,2423,3814
383853,47637,2007-12-10,5.0,771,79467
53932,170761,2006-06-10,5.0,77,98138
890187,119178,2010-07-16,3.0,7973,171468
233583,82221,2009-01-07,5.0,1926,118043
56087,28234,2005-03-18,5.0,2998,147911
406741,138972,2011-09-02,5.0,4872,140712
169430,364363,2011-01-29,5.0,241,82637
58104,175824,2006-07-15,5.0,319,69592
28346,67468,2004-09-07,4.0,1471,96346
88099,165801,2007-05-26,5.0,470,33335
290107,61849,2006-05-22,5.0,2419,136284
141904,73469,2004-11-24,5.0,6319,97975
446143,206952,2007-03-12,5.0,27,63680
380561,29679,2009-05-25,5.0,12006,73956
200270,170736,2008-06-11,5.0,5132,95665
565592,184460,2012-10-02,5.0,1547,21885
537179,338457,2009-02-09,5.0,91,9889
213547,44232,2005-09-04,5.0,1002,13779
38643,16884,2007-02-05,5.0,7349,72253
688254,25849,2009-08-12,5.0,14150,138068
254614,9823,2008-10-26,4.0,551,61183
2000498330,28758,2016-11-27,5.0,2248,14451
1547166,223688,2014-10-28,2.0,2544,5044
492412,31710,2008-03-27,5.0,3836,143117
583643,49561,2012-08-26,0.0,2311,55405
36944,44640,2002-11-08,5.0,2106,170707
361931,310418,2008-12-27,4.0,1307,77978
580134,166252,2008-01-20,5.0,9604,125708
39835,178885,2009-05-15,5.0,384,56541
65502,362842,2009-03-31,5.0,1279,156148
212478,9836,2010-09-12,3.0,10154,43748
22720,22782,2007-10-12,5.0,3735,101819
1166077,54257,2009-04-02,5.0,19622,52334
78808,19483,2004-08-02,5.0,1680,43758
209603,146866,2006-01-23,5.0,2429,102379
2241574,363598,2013-10-17,4.0,12323,170771
111843,36634,2004-09-17,5.0,11106,175176
308961,201978,2007-01-24,4.0,12169,160405
94618,26257,2004-02-02,5.0,3557,61366
53959,146671,2006-01-15,5.0,310,29091
